Issue,Source,Component,Action,Actor
Application Not Active,Advance Monitor,Adpd,Please restart Adpd application,Amagi Support
Application Not Active,Advance Monitor,Device agent,Please restart Device agent application,Amagi Support
Application Not Active,Advance Monitor,Player,Please restart Player application,Amagi Support
Application Not Active,Advance Monitor,Playlist manager,Please restart Playlist manager application,Amagi Support
Application Not Active,Advance Monitor,DTMF,Please restart DTMF application,Amagi Support
Application Not Active,Realtime Monitor,Adpd,Please restart Adpd application,Amagi Support
Application Not Active,Realtime Monitor,Device agent,Please restart Device agent application,Amagi Support
Application Not Active,Realtime Monitor,Player,Please restart Player application,Amagi Support
Application Not Active,Realtime Monitor,Playlist manager,Please restart Playlist manager application,Amagi Support
Application Not Active,Realtime Monitor,DTMF,Please restart DTMF application,Amagi Support
Application Not Active,Field,Adpd,Please restart Adpd application and update Customer as necessary,Amagi Support
Application Not Active,Field,Device agent,Please restart Device agent application and update Customer as necessary,Amagi Support
Application Not Active,Field,Player,Please restart Player application and update Customer as necessary,Amagi Support
Application Not Active,Field,Playlist manager,Please restart Playlist manager application and update Customer as necessary,Amagi Support
Application Not Active,Field,DTMF,Please restart DTMF application and update Customer as necessary,Amagi Support
Quality Check,Blip,Media,Delivered Media has failed QC. Please redeliver asset,Media Ingest
Quality Check,Blip,Rescue,Delivered Rescue has failed QC. Please redeliver asset,Media Ingest
Quality Check,Blip,Graphics,Delivered Graphics has failed QC. Please redeliver asset,Media Ingest
Quality Check,Blip,Audio,Delivered Audio has failed QC. Please redeliver asset,Media Ingest
Quality Check,Blip,Subtitle,Delivered Subtitle has failed QC. Please redeliver asset,Media Ingest
Quality Check,Blip,Dynamic Graphic,Delivered Dynamic Graphic has failed QC. Please redeliver asset,Media Ingest
Quality Check,Blip,Ticker,Delivered Ticker has failed QC. Please redeliver asset,Media Ingest
Quality Check,Blip,Promo,Delivered Promo has failed QC. Please redeliver asset,Media Ingest
Quality Check,Blip,Program,Delivered Program has failed QC. Please redeliver asset,Media Ingest
Quality Check,Blip,Media,Delivered Media has failed QC. Please approve QC bypass,Media Ingest
Quality Check,Blip,Rescue,Delivered Rescue has failed QC. Please approve QC bypass,Media Ingest
Quality Check,Blip,Graphics,Delivered Graphics has failed QC. Please approve QC bypass,Media Ingest
