Issue,Action,Actor
Application Not Active,Please restart Adpd application,Amagi Support
Application Not Active,Please restart Device agent application,Amagi Support
Application Not Active,Please restart Player application,Amagi Support
Application Not Active,Please restart Playlist manager application,Amagi Support
Application Not Active,Please restart DTMF application,Amagi Support
Application Not Active,Please restart Adpd application,Amagi Support
Application Not Active,Please restart Device agent application,Amagi Support
Application Not Active,Please restart Player application,Amagi Support
Application Not Active,Please restart Playlist manager application,Amagi Support
Application Not Active,Please restart DTMF application,Amagi Support
Application Not Active,Please restart Adpd application and update Customer as necessary,Amagi Support
Application Not Active,Please restart Device agent application and update Customer as necessary,Amagi Support
Application Not Active,Please restart Player application and update Customer as necessary,Amagi Support
Application Not Active,Please restart Playlist manager application and update Customer as necessary,Amagi Support
Application Not Active,Please restart DTMF application and update Customer as necessary,Amagi Support
Quality Check,Delivered Media has failed QC. Please redeliver asset,Media Ingest/Media
Quality Check,Delivered Rescue has failed QC. Please redeliver asset,Media Ingest/Media
Quality Check,Delivered Graphics has failed QC. Please redeliver asset,Media Ingest/Graphics
Quality Check,Delivered Audio has failed QC. Please redeliver asset,Media Ingest/Audio
Quality Check,Delivered Subtitle has failed QC. Please redeliver asset,Media Ingest/Subtitle
Quality Check,Delivered Dynamic Graphic has failed QC. Please redeliver asset,Media Ingest/Media
Quality Check,Delivered Ticker has failed QC. Please redeliver asset,Media Ingest/Graphics
Quality Check,Delivered Promo has failed QC. Please redeliver asset,Media Ingest/Promo
Quality Check,Delivered Program has failed QC. Please redeliver asset,Media Ingest/Program
Quality Check,Delivered Media has failed QC. Please approve QC bypass,Media Ingest/Media
Quality Check,Delivered Rescue has failed QC. Please approve QC bypass,Media Ingest/Media
Quality Check,Delivered Graphics has failed QC. Please approve QC bypass,Media Ingest/Graphics
Quality Check,Delivered Audio has failed QC. Please approve QC bypass,Media Ingest/Audio
Quality Check,Delivered Subtitle has failed QC. Please approve QC bypass,Media Ingest/Subtitle
Quality Check,Delivered Dynamic Graphic has failed QC. Please approve QC bypass,Media Ingest/Media
Quality Check,Delivered Ticker has failed QC. Please approve QC bypass,Media Ingest/Graphics
Quality Check,Delivered Promo has failed QC. Please approve QC bypass,Media Ingest/Promo
Quality Check,Delivered Program has failed QC. Please approve QC bypass,Media Ingest/Program
Quality Check,Delivered Commercial has failed QC. Please redeliver asset,Commercial Ingest/Commercial
Quality Check,Delivered Commercial has failed QC. Please approve QC bypass,Commercial Ingest/Commercial
Asset Stuck in Ingest,Delivered Media is stuck in ingest for a long time. Please analyze and resolve. Update Customer as necessary,Amagi Support
Asset Stuck in Ingest,Delivered Rescue is stuck in ingest for a long time. Please analyze and resolve. Update Customer as necessary,Amagi Support
Asset Stuck in Ingest,Delivered Graphics is stuck in ingest for a long time. Please analyze and resolve. Update Customer as necessary,Amagi Support
Asset Stuck in Ingest,Delivered Audio is stuck in ingest for a long time. Please analyze and resolve. Update Customer as necessary,Amagi Support
Asset Stuck in Ingest,Delivered Subtitle is stuck in ingest for a long time. Please analyze and resolve. Update Customer as necessary,Amagi Support
Asset Stuck in Ingest,Delivered Commercial is stuck in ingest for a long time. Please analyze and resolve. Update Customer as necessary,Amagi Support
Asset Stuck in Ingest,Delivered Dynamic Graphic is stuck in ingest for a long time. Please analyze and resolve. Update Customer as necessary,Amagi Support
Asset Stuck in Ingest,Delivered Ticker is stuck in ingest for a long time. Please analyze and resolve. Update Customer as necessary,Amagi Support
Asset Stuck in Ingest,Delivered Promo is stuck in ingest for a long time. Please analyze and resolve. Update Customer as necessary,Amagi Support
Asset Stuck in Ingest,Delivered Program is stuck in ingest for a long time. Please analyze and resolve. Update Customer as necessary,Amagi Support
Asset Transcode Failed,Delivered Media has failed to transcode. Please analyze and update Customer,Amagi Support
Asset Transcode Failed,Delivered Rescue has failed to transcode. Please analyze and update Customer,Amagi Support
Asset Transcode Failed,Delivered Graphics has failed to transcode. Please analyze and update Customer,Amagi Support
Asset Transcode Failed,Delivered Audio has failed to transcode. Please analyze and update Customer,Amagi Support
Asset Transcode Failed,Delivered Subtitle has failed to transcode. Please analyze and update Customer,Amagi Support
Asset Transcode Failed,Delivered Commercial has failed to transcode. Please analyze and update Customer,Amagi Support
Asset Transcode Failed,Delivered Dynamic Graphic has failed to transcode. Please analyze and update Customer,Amagi Support
Asset Transcode Failed,Delivered Ticker has failed to transcode. Please analyze and update Customer,Amagi Support
Asset Transcode Failed,Delivered Promo has failed to transcode. Please analyze and update Customer,Amagi Support
Asset Transcode Failed,Delivered Program has failed to transcode. Please analyze and update Customer,Amagi Support
